ORDER_ID,MATERIALS,QUANTITY
1,PN12344A21,20
1,PN18324C51,15
1,PN18324C54,5
1,PN18544A21,80
1,PN18544C21,40
1,PN52384R10,20
1,PN52384R50,20
2,PN12344A21,10
2,PN18324C54,10
2,PN18544A21,40
2,PN18544C21,20
2,PN52384R10,10
2,PN52384R50,10
3,PN12344A21,20
3,PN18324C51,10
3,PN18324C54,10
3,PN18544A21,80
3,PN18544C21,40
3,PN52384R10,20
3,PN52384R50,20
4,PN12344A21,4
4,PN18324C54,4
4,PN18544A21,16
4,PN18544C21,8
4,PN52384R10,4
4,PN52384R50,4
5,PN12344A21,12
5,PN18324C54,12
5,PN18544A21,48
5,PN18544C21,24
5,PN52384R10,12
5,PN52384R50,12
6,PN12344A21,8
6,PN18324C54,8
6,PN18544A21,32
6,PN18544C21,16
6,PN52384R10,8
6,PN52384R50,8
7,PN12344A21,7
7,PN18324C54,7
7,PN18544A21,28
7,PN18544C21,14
7,PN52384R10,7
7,PN52384R50,7